j,k,i,lambda,pitch,r,c,a,a_prime,CL,CD,Cn,Ct,V_rel,dT,dQ,dP
1,5,8,3,3,12.555,3.672,0.07703,0.071639,1.585318,0.322813,1.306303,0.95447,12.485946,411.293936,3773.00542,2358.128388
1,5,9,3,3,13.95,3.418,0.071723,0.05594,1.581128,0.306446,1.330986,0.906837,13.073984,427.685061,4064.938441,2540.586526
1,5,10,3,3,15.113,3.196,0.067023,0.045126,1.562155,0.299734,1.341222,0.855157,13.583024,434.973656,4191.396308,2619.622693
1,5,11,3,3,16.275,3.002,0.063274,0.037237,1.548098,0.290229,1.350357,0.810787,14.108919,443.822644,4336.992728,2710.620455
1,5,12,3,3,17.438,2.833,0.060186,0.031202,1.533944,0.280211,1.356488,0.769054,14.65046,453.657206,4485.026845,2803.141778
1,5,13,3,3,18.6,2.687,0.057548,0.026502,1.518016,0.27019,1.358748,0.728819,15.205926,464.296225,4632.21741,2895.135881
1,5,14,3,3,19.763,2.561,0.055498,0.022857,1.504525,0.25907,1.360141,0.693347,15.774395,476.71797,4802.651718,3001.657324
1,5,15,3,3,20.925,2.452,0.053854,0.01993,1.491103,0.248836,1.360175,0.65972,16.353656,490.577693,4978.954964,3111.846853
1,5,16,3,3,22.088,2.358,0.052645,0.017659,1.481603,0.237253,1.361051,0.631645,16.944514,506.803003,5195.09971,3246.937319
1,5,17,3,3,23.25,2.276,0.053716,0.016506,1.529104,0.22956,1.411383,0.63155,17.542259,543.68941,5656.353154,3535.220721
1,5,18,3,3,24.413,2.203,0.053002,0.01493,1.521788,0.217794,1.411901,0.608118,18.15198,563.676035,5926.990794,3704.369246
1,5,19,3,3,25.575,2.138,0.052401,0.013601,1.513133,0.205837,1.410056,0.586246,18.769439,584.129604,6211.100842,3881.938026
1,5,20,3,3,26.738,2.078,0.052114,0.012507,1.510295,0.195174,1.413015,0.567868,19.394425,607.447516,6527.371441,4079.607151
1,5,21,3,3,27.9,2.018,0.051847,0.011585,1.510007,0.183584,1.416961,0.553215,20.026275,630.727801,6870.40879,4294.005494
1,5,22,3,3,29.063,1.958,0.051556,0.010755,1.510242,0.172845,1.42111,0.539585,20.664807,653.530383,7211.714249,4507.321406
